id,last_modified,code,name,description,poi_type,lat,lon,address_complete,related_url,contact_email,contact_phone
168,10/3/2023,,Vezzano,Borgo,paese,42.61415,13.15720,  Cittareale 02010 Rieti ,,,
169,10/3/2023,,Agriturismo Lu Ceppe,"Agriturismo a Cupello, periferia di Cittareale","b-and-b,ristorante",42.61942,13.15603,"Cupello, via Gentili 3 Cittareale 02010 Rieti Cupello",https://agriturismoluceppe.it,,+39 0746947085
170,10/3/2023,,Fontanile via del Santuario,Fontanile,fountain,42.61987,13.15690,Via Bucci / via del Santuario  Cittareale 02010 Rieti ,,,
171,10/3/2023,,Cittareale,Paese,paese,42.61790,13.15948,  Cittareale 02010 Rieti ,,,
172,10/3/2023,,Museo dei reperti della villa di Vespasiano,,"museum,museum,historical",42.61790,13.15948,Corso Vittorio Emanuele 16 Cittareale 02010 Rieti ,,,
173,10/3/2023,,La Rocca di Re Manfredi a Cittareale,Castello,"punctual-architectural-element,punctual-architectural-element",42.62019,13.15975,  Cittareale 02010 Rieti ,,,
174,10/3/2023,,Municipio di Cittareale,Municipio,amenity-townhall,42.61762,13.15933,  Cittareale 02010 Rieti ,,,+39 0746947032
175,10/3/2023,,Madonna di Capodacqua,Santuario,religion,42.62125,13.15060,Via del Santuario 10 Cittareale 02010 Rieti ,,,
176,10/3/2023,,Conca,Borgo,paese,42.59784,13.15546,  Cittareale 02010 Rieti ,,,
177,10/3/2023,,Fontanile di Conca,Fontanile con reperti della Villa di Vespasiano,"fountain,historical",42.59732,13.15618,Via Mastrella  Cittareale 02010 Rieti Conca,,,
178,10/3/2023,,Birra Alta Quota Birrificio Artigianale,Birrificio Artigianale,bar,42.59662,13.16316,Località Ricci  Cittareale 02010 Rieti Ricci,http://www.birraaltaquota.it/,,+39 3469803923
179,10/3/2023,,Bar Silvana,Bar,bar,42.59302,13.16316,Località Pallottini 15 Cittareale 02010 Rieti Pallottini,,,+39 0746947092
180,10/3/2023,,Cestoni Olga,Ristorante di cucina tradizionale,ristorante,42.59144,13.15003,Via Savi  20 Cittareale 02010 Rieti Santa Giusta,,,+39 0746947041
181,10/3/2023,,Chiesa di San Lorenzo,Chiesa,religion,42.58272,13.15230,  Cittareale 02010 Rieti ,,,
182,10/3/2023,,Mola Coletta,Antica Mola,"historical,poi",42.57684,13.15463,Via Mola Coletta  Cittareale 02010 Rieti ,,,
183,10/3/2023,,Bar Tabacchi Ieieie,Bar,bar,42.56548,13.14908,Via Salaria 2A Santa Croce 02010 Rieti ,,,+39 0746947035
184,10/3/2023,,Santa Croce,Borgo lungo la vecchia Salaria,paese,42.56473,13.14925,  Santa Croce 02010 Rieti ,,,
185,10/3/2023,,Osteria da Bartasca,Osteria Borgo Santa Croce,"ristorante,bar",42.56473,13.14925,Via Sacco  Santa Croce 02010 Rieti ,,,+39 3349632559
186,10/3/2023,,Ristorante Franchi Agostino ,Ristorante Borgo Santa Croce,ristorante,42.56461,13.14882,Via Salaria 15 Santa Croce 02010 Rieti ,,,+39 0746948059
187,10/3/2023,,Santa Croce Chiesa Cattolica,Chiesa,religion,42.56410,13.14920,Via Salaria Vecchia 29 Santa Croce 02010 Rieti ,,,
188,10/3/2023,,Bacugno,Borgo lungo la vecchia Salaria,paese,42.54733,1313042,Bivio Via Bacugno  Posta 02019 Rieti ,,,
