id,last_modified,code,poi_type,name,lat,lon
395030631,16/11/2022,395030631,fountain,Punto acqua,"43,9941541","12,1066246"
395031600,16/11/2022,395031600,fountain,Punto acqua,"43,970299","12,0774201"
395033597,16/11/2022,395033597,fountain,Punto acqua,"43,9223787","11,9822817"
395033641,16/11/2022,395033641,fountain,Punto acqua,"43,9230464","11,9812002"
395504314,16/11/2022,395504314,fountain,Punto acqua,"43,9527706","12,2756233"
404555683,16/11/2022,404555683,fountain,Punto acqua,"44,1064911","11,9817762"
404729256,16/11/2022,404729256,fountain,Punto acqua,"43,896174","12,3477459"
453540691,16/11/2022,453540691,fountain,Punto acqua,"43,7854061","12,2985222"
453545611,16/11/2022,453545611,fountain,Punto acqua,"43,8156563","12,3477859"
601381843,16/11/2022,601381843,fountain,Punto acqua,"43,8717139","11,8925689"
602000038,16/11/2022,602000038,fountain,Punto acqua,"43,8583702","11,8669064"
602083533,16/11/2022,602083533,fountain,Punto acqua,"43,9326904","11,8911082"
605290072,16/11/2022,605290072,fountain,Punto acqua,"43,947503","11,9078872"
605290083,16/11/2022,605290083,fountain,Punto acqua,"43,9461504","11,9115807"
605664833,16/11/2022,605664833,fountain,Punto acqua,"43,9465326","11,9118045"
608646467,16/11/2022,608646467,fountain,Punto acqua,"43,9416713","11,9101481"
619431484,16/11/2022,619431484,fountain,Punto acqua,"43,9288408","11,8892103"
639673218,16/11/2022,639673218,fountain,Punto acqua,"43,98521","11,90594"
639673222,16/11/2022,639673222,fountain,Punto acqua,"43,9997031","11,9020391"
639673232,16/11/2022,639673232,fountain,Punto acqua,"43,99281","11,90968"
639673244,16/11/2022,639673244,fountain,Punto acqua,"43,9961261","11,9115963"
639673246,16/11/2022,639673246,fountain,Punto acqua,"43,9967528","11,9114355"
639673249,16/11/2022,639673249,fountain,Punto acqua,"43,99668","11,91203"
639673251,16/11/2022,639673251,fountain,Punto acqua,"43,99791","11,91181"
639673256,16/11/2022,639673256,fountain,Punto acqua,"43,99917","11,91362"
639673259,16/11/2022,639673259,fountain,Punto acqua,"43,99973","11,91197"
639673270,16/11/2022,639673270,fountain,Punto acqua,"44,00191","11,91095"
639673272,16/11/2022,639673272,fountain,Punto acqua,"44,0068597","11,9369599"
639673286,16/11/2022,639673286,fountain,Punto acqua,"44,00695","11,93754"
639673291,16/11/2022,639673291,fountain,Punto acqua,"44,00771","11,94166"
639673298,16/11/2022,639673298,fountain,Punto acqua,"44,0073","11,94218"
639673301,16/11/2022,639673301,fountain,Punto acqua,"44,00812","11,94278"
639673321,16/11/2022,639673321,fountain,Punto acqua,"44,14437","11,98646"
639673336,16/11/2022,639673336,fountain,Punto acqua,"44,1455656","11,9876289"
