id,last_modified,name,lat,lon,poi_type
152,06/11/2023,Col de Roselend,6.6895776,45.6912631,natural-saddle
153,06/11/2023,Col du Pre,6.5980131,45.6902836,natural-saddle
154,06/11/2023,Pas du Tanarel,7.7151107,44.0792465,natural-saddle
155,06/11/2023,"Passo della Scalucchia
",10.2289312,44.3571973,natural-saddle
156,06/11/2023,Passo della Forcella,9.3333333,44.45,natural-saddle
157,06/11/2023,"Passo di Santa Barbara o dell'Angelone
",9.4606313,44.7312152,natural-saddle
158,06/11/2023,Passo di Fregarolo,9.3191634,44.5174127,natural-saddle
159,06/11/2023,Passo del Cornello,12.8585154,43.1253525,natural-saddle
160,06/11/2023,passo Cantoniera,12.2881222,43.7789647,natural-saddle
161,06/11/2023,Passo del San Gottardo,8.5623231,46.5588864,natural-saddle
162,06/11/2023,Passo dell'Oberalp,8.671018,46.6583992,natural-saddle
163,06/11/2023,Col du Lautaret,6.4051047,45.0352342,natural-saddle
164,06/11/2023,Col du Galibier,6.4078458,45.0641514,natural-saddle
165,06/11/2023,Col du Telegraphe,6.4444294,45.2027264,natural-saddle
166,06/11/2023,Col de Sarenne,6.1490387,45.0874518,natural-saddle
167,06/11/2023,Col du Glandon,6.1756947,45.2397508,natural-saddle
168,06/11/2023,Col de la Croix de Fer,6.2028446,45.2278207,natural-saddle
169,06/11/2023,"Passo della Cappelletta
",9.6627755,44.4000642,natural-saddle
170,06/11/2023,Passo Lagastrello,10.141402,44.3511883,natural-saddle
171,06/11/2023,Valico di Chiunzi,14.6209505,40.7180189,natural-saddle
172,06/11/2023,"Passo di santa Crocella
",14.5810057,41.3839343,natural-saddle
173,06/11/2023,Passo del Diavolo,13.752532,41.8683126,natural-saddle
174,06/11/2023,Passo Sella di Vinchiaturo,14.5849527,41.4531125,natural-saddle
175,06/11/2023,Passo di Pretemorto,14.4209153,41.4010945,natural-saddle
176,06/11/2023,Passo delle Crocelle,15.55,40.7833333,natural-saddle
177,06/11/2023,Passo dello Scalone,15.9402622,39.6299912,natural-saddle
178,06/11/2023,Col de la Madeleine,6.3754599,45.4357621,natural-saddle
179,06/11/2023,Colle Phantaleon,7.5682882,45.7861081,natural-saddle
180,06/11/2023,Col de Vescavo,7.502493,43.8848497,natural-saddle
181,06/11/2023,"Valico tre Cancelli
",16.0588282,40.6400144,natural-saddle
182,06/11/2023,Acquabona,16.3337731,39.0254185,natural-saddle
183,06/11/2023,Valico del Morellino (747 slm),11.3984223,43.5501684,natural-saddle
184,06/11/2023,Col d'Allos,6.569655,44.2932014,natural-saddle
185,06/11/2023,Col de la Cayolle,6.743905,44.2592237,natural-saddle
186,06/11/2023,Cima del Mont Ventoux,5.279031,44.174344,natural-saddle
187,06/11/2023,Passo di Cirone,10.0030744,44.438979,natural-saddle
188,06/11/2023,Passo Dei Casoni,9.3071098,44.5269629,natural-saddle
189,06/11/2023,"Passo di Lentula
",11.0460003,44.0916155,natural-saddle
190,06/11/2023,Passo di Linguada',9.648925,44.669387,natural-saddle
191,06/11/2023,"Passo Pianazze
",9.6189829,44.6370722,natural-saddle
192,06/11/2023,"Passo del Ghiffi
",9.445568,44.4380325,natural-saddle
193,06/11/2023,Passo Montevacà,9.609619,44.5353533,natural-saddle
194,06/11/2023,"Passo del Pellizzone
",9.7441817,44.6799703,natural-saddle
195,06/11/2023,Passo dello Zovallo,9.520584,44.5736347,natural-saddle
196,06/11/2023,"Passo del Brallo
",9.2796749,44.7375395,natural-saddle
197,06/11/2023,Passo Cà del Diavolo,9.3882762,44.8922336,natural-saddle
198,06/11/2023,Passo della Caldarola,9.4438711,44.8551616,natural-saddle
199,06/11/2023,Passo del Cerro,9.5528557,44.7862208,natural-saddle
200,06/11/2023,Colle della Crocetta,9.3737411,44.851485,natural-saddle
201,06/11/2023,"Passo delle Donne
",9.708223,44.7471279,natural-saddle
202,06/11/2023,Passo del Mercatello,9.4509586,44.6539,natural-saddle
203,06/11/2023,Forca Canapine,13.1996314,42.7489756,natural-saddle
204,06/11/2023,Forca di Presta,13.2606912,42.7899683,natural-saddle
205,06/11/2023,Passo di Tascusì,9.2309684,40.0318065,natural-saddle
206,06/11/2023,Passo Lanciano,14.1048517,42.1889543,natural-saddle
207,06/11/2023,Sella di Corno,13.1919957,42.361798,natural-saddle
208,06/11/2023,"Valico di Forca Caruso
",13.7029182,42.0626668,natural-saddle
209,06/11/2023,Valico Bocca di Forlì,14.121632,41.7320024,natural-saddle
210,06/11/2023,Valico Sierra del Fiego,16.3954924,39.3531076,natural-saddle
211,06/11/2023,Sella di Ariano,15.1330832,41.1679051,natural-saddle
212,06/11/2023,Stretta di Arpaia,14.5509417,41.0386556,natural-saddle
213,06/11/2023,Bocca Della Selva,14.5004142,41.3785419,natural-saddle
214,06/11/2023,"Passo Sella di Conza
",15.3027466,40.8384147,natural-saddle
